rank,stock_name,stock_code,sector,score,current_price,priority,entry_action,entry_guide,take_profit_guide,stop_loss_guide,do_not_chase,check_points
1,ACE 미국우주테크액티브,,금융,97,"25,600",A: 우선 감시,정상,"25,088~25,728원 구간에서 거래량/지지 확인 후 분할 진입","1차 26,880원(+5%), 2차 27,648원(+8%) 부근 분할 익절 검토","24,576원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
2,KODEX 200타겟위클리커버드콜,,AI/소프트웨어,83,"26,245",B: 조건부 감시,정상,"25,720~26,376원 구간에서 거래량/지지 확인 후 분할 진입","1차 27,557원(+5%), 2차 28,345원(+8%) 부근 분할 익절 검토","25,195원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
3,KODEX 삼성전자채권혼합,,AI/소프트웨어,83,"18,280",B: 조건부 감시,정상,"17,914~18,371원 구간에서 거래량/지지 확인 후 분할 진입","1차 19,194원(+5%), 2차 19,742원(+8%) 부근 분할 익절 검토","17,549원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
4,TIGER 은행고배당플러스TOP10,,AI/소프트웨어,81,"26,175",B: 조건부 감시,정상,"25,652~26,306원 구간에서 거래량/지지 확인 후 분할 진입","1차 27,484원(+5%), 2차 28,269원(+8%) 부근 분할 익절 검토","25,128원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
5,TIGER LG그룹플러스,,AI/소프트웨어,86,"15,080",B: 조건부 감시,정상,"14,778~15,155원 구간에서 거래량/지지 확인 후 분할 진입","1차 15,834원(+5%), 2차 16,286원(+8%) 부근 분할 익절 검토","14,477원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
6,1Q K반도체TOP2+,,반도체/전자부품,70,"118,300",C: 관찰,정상,"115,934~118,891원 구간에서 거래량/지지 확인 후 분할 진입","1차 124,215원(+5%), 2차 127,764원(+8%) 부근 분할 익절 검토","113,568원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
7,SK네트웍스,,도매,69,"11,130",C: 관찰,정상,"10,907~11,186원 구간에서 거래량/지지 확인 후 분할 진입","1차 11,686원(+5%), 2차 12,020원(+8%) 부근 분할 익절 검토","10,685원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
8,진양화학,,고무/플라스틱,69,"2,255",C: 관찰,정상,"2,210~2,266원 구간에서 거래량/지지 확인 후 분할 진입","1차 2,368원(+5%), 2차 2,435원(+8%) 부근 분할 익절 검토","2,165원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
9,M83,,미디어/콘텐츠,66,"7,170",C: 관찰,정상,"7,027~7,206원 구간에서 거래량/지지 확인 후 분할 진입","1차 7,528원(+5%), 2차 7,744원(+8%) 부근 분할 익절 검토","6,883원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
10,후성,,화학,65,"11,540",C: 관찰,정상,"11,309~11,598원 구간에서 거래량/지지 확인 후 분할 진입","1차 12,117원(+5%), 2차 12,463원(+8%) 부근 분할 익절 검토","11,078원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
11,TIGER 배당커버드콜액티브,,AI/소프트웨어,57,"26,005",C: 관찰,정상,"25,485~26,135원 구간에서 거래량/지지 확인 후 분할 진입","1차 27,305원(+5%), 2차 28,085원(+8%) 부근 분할 익절 검토","24,965원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
12,KODEX 미국S&P500,,AI/소프트웨어,54,"26,425",C: 관찰,정상,"25,896~26,557원 구간에서 거래량/지지 확인 후 분할 진입","1차 27,746원(+5%), 2차 28,539원(+8%) 부근 분할 익절 검토","25,368원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
13,TIGER 미국S&P500,,AI/소프트웨어,54,"28,985",C: 관찰,정상,"28,405~29,130원 구간에서 거래량/지지 확인 후 분할 진입","1차 30,434원(+5%), 2차 31,304원(+8%) 부근 분할 익절 검토","27,826원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
14,LG디스플레이,,반도체/전자부품,59,"15,390",C: 관찰,정상,"15,082~15,467원 구간에서 거래량/지지 확인 후 분할 진입","1차 16,160원(+5%), 2차 16,621원(+8%) 부근 분할 익절 검토","14,774원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
15,SOL AI반도체소부장,,반도체,50,"30,240",C: 관찰,정상,"29,635~30,391원 구간에서 거래량/지지 확인 후 분할 진입","1차 31,752원(+5%), 2차 32,659원(+8%) 부근 분할 익절 검토","29,030원(-4%) 이탈 또는 장대음봉 동반 시 손절/비중축소 검토",시초 급등/뉴스성 갭상승은 5~30분 눌림 확인 전 추격매수 금지,"거래량 증가, 전일 고점 돌파/지지, 뉴스 지속성, 과열 여부 확인"
